Fahrten,Namen
85,S8 (Regionalverkehr Bern-Solothurn)
25,RE5 (Regionalverkehr Bern-Solothurn)
10,884 (Autobusbetrieb RBS)
4,5 (Busbetrieb Solothurn und Umgebung)
2,882 (PostAuto AG)
2,10 (Städtische Verkehrsbetriebe Bern)
1,IC5 (Schweizerische Bundesbahnen SBB)
1,41 (Autobusbetrieb RBS)
1,S7 (Regionalverkehr Bern-Solothurn)
1,36 (Autobusbetrieb RBS)
1,19 (Städtische Verkehrsbetriebe Bern)
1,12 (Städtische Verkehrsbetriebe Bern)
1,S21 (Schweizerische Bundesbahnen SBB)
1,363 (Autobusbetrieb RBS)
0,S44 (BLS AG (bls))
0,S2 (BLS AG (bls))
0,S3 (BLS AG (bls))
0,S31 (BLS AG (bls))
0,7 (Städtische Verkehrsbetriebe Bern)
0,S20 (Schweizerische Bundesbahnen SBB)
