Fahrten,Namen
1597,S8 (Regionalverkehr Bern-Solothurn)
110,10 (Städtische Verkehrsbetriebe Bern)
73,IR65 (BLS AG (bls))
68,38 (Autobusbetrieb RBS)
61,IC6 (Schweizerische Bundesbahnen SBB)
56,12 (Städtische Verkehrsbetriebe Bern)
54,IR17 (BLS AG (bls))
49,S5 (BLS AG (bls))
46,S2 (BLS AG (bls))
41,EC (Schweizerische Bundesbahnen SBB)
23,IC1 (Schweizerische Bundesbahnen SBB)
23,8 (Städtische Verkehrsbetriebe Bern)
22,9 (Städtische Verkehrsbetriebe Bern)
22,S6 (BLS AG (bls))
20,6 (Städtische Verkehrsbetriebe Bern)
20,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
20,7 (Städtische Verkehrsbetriebe Bern)
15,S44 (BLS AG (bls))
13,3 (STI Bus AG)
13,RE2 (Transports publics fribourgeois)
