Fahrten,Namen
4538,S8 (Regionalverkehr Bern-Solothurn)
569,10 (Städtische Verkehrsbetriebe Bern)
354,38 (Autobusbetrieb RBS)
184,12 (Städtische Verkehrsbetriebe Bern)
184,8 (Städtische Verkehrsbetriebe Bern)
173,6 (Städtische Verkehrsbetriebe Bern)
147,IR65 (BLS AG (bls))
126,S2 (BLS AG (bls))
121,7 (Städtische Verkehrsbetriebe Bern)
114,S5 (BLS AG (bls))
81,EC (Schweizerische Bundesbahnen SBB)
81,IR17 (BLS AG (bls))
79,20 (Städtische Verkehrsbetriebe Bern)
67,IC6 (Schweizerische Bundesbahnen SBB)
56,100 (PostAuto AG)
54,465 (Busland AG)
53,S6 (BLS AG (bls))
51,102 (PostAuto AG)
46,S3 (BLS AG (bls))
45,104 (PostAuto AG)
