Fahrten,Namen
57,RE5 (Regionalverkehr Bern-Solothurn)
5,20 (Städtische Verkehrsbetriebe Bern)
3,9 (Städtische Verkehrsbetriebe Bern)
2,12 (Städtische Verkehrsbetriebe Bern)
2,10 (Städtische Verkehrsbetriebe Bern)
1,8 (Städtische Verkehrsbetriebe Bern)
1,S7 (Regionalverkehr Bern-Solothurn)
1,19 (Städtische Verkehrsbetriebe Bern)
1,17 (Städtische Verkehrsbetriebe Bern)
1,S2 (BLS AG (bls))
0,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
0,IC61 (Schweizerische Bundesbahnen SBB)
0,S1 (BLS AG (bls))
0,781 (PostAuto AG)
0,6 (Städtische Verkehrsbetriebe Bern)
0,RE1 (BLS AG (bls))
0,IR66 (BLS AG (bls))
0,S31 (BLS AG (bls))
0,10 (Baselland Transport)
0,50 (Basler Verkehrsbetriebe)
